地域,所在地都道府県,所在地市区町村,区,種別,公園名,所在地,緯度,経度
九州,福岡県,福岡市,東区,幼児,黒山公園,三苫三丁目1752-829,33.69934731,130.41656578
九州,福岡県,福岡市,東区,幼児,サヤ１号公園,土井四丁目725-98,33.63796996,130.46965753
九州,福岡県,福岡市,東区,幼児,よろい坂公園,香椎駅前三丁目440-14,33.66476201,130.44353216
九州,福岡県,福岡市,東区,幼児,塚原公園,和白丘二丁目667-42,33.69589014,130.430897
九州,福岡県,福岡市,東区,幼児,大ノ坂公園,土井四丁目964-44,33.63829926,130.47161657
九州,福岡県,福岡市,東区,幼児,横町公園,名島四丁目2026-9,33.64102224,130.43083358
九州,福岡県,福岡市,東区,幼児,牟田公園,多の津五丁目1274-3,33.62284418,130.45204829
九州,福岡県,福岡市,東区,都市緑地,箱崎１号公園,箱崎四丁目3-36,33.62075139,130.4204601
九州,福岡県,福岡市,東区,幼児,馬出１号公園,馬出三丁目487,33.61391322,130.41494748
九州,福岡県,福岡市,東区,幼児,和白丸ノ内公園,和白東五丁目7-18，7-19，7-20,33.69826141,130.44555154
九州,福岡県,福岡市,東区,幼児,定光公園,和白六丁目1053-7,33.69602576,130.42715742
九州,福岡県,福岡市,東区,幼児,香椎台南公園,水谷二丁目209-164,33.6509413,130.44463535
九州,福岡県,福岡市,東区,幼児,香椎台中公園,水谷二丁目209-165,33.65213,130.4447244
九州,福岡県,福岡市,東区,幼児,中裏付公園,雁の巣一丁目1293-165,33.68516276,130.40163063
九州,福岡県,福岡市,東区,幼児,高松公園,和白東四丁目1-24,33.69768232,130.44941451
九州,福岡県,福岡市,東区,幼児,大新開公園,和白六丁目1162-19,33.69379188,130.42502722
九州,福岡県,福岡市,東区,幼児,白浜公園,和白二丁目1553-133,33.68548353,130.43431724
九州,福岡県,福岡市,東区,幼児,高節公園,唐原七丁目58-17,33.67506559,130.44702379
九州,福岡県,福岡市,東区,幼児,二又瀬新町公園,二又瀬新町1009-3外,33.60936552,130.44100026
九州,福岡県,福岡市,東区,幼児,梅ヶ崎公園,和白三丁目1203-11,33.68810441,130.43385078
九州,福岡県,福岡市,東区,幼児,高美台１号公園,高美台一丁目351,33.68828271,130.44922423
九州,福岡県,福岡市,東区,幼児,湯ノ浦公園,青葉六丁目890-38,33.64573991,130.47062557
九州,福岡県,福岡市,東区,幼児,八尻東公園,下原二丁目1411-12,33.66895501,130.45856427
九州,福岡県,福岡市,東区,幼児,奈多松原台北公園,雁の巣一丁目1263-24,33.68734139,130.4071466
九州,福岡県,福岡市,東区,幼児,奈多松原台東公園,雁の巣一丁目1243-335,33.68630729,130.4080989
九州,福岡県,福岡市,東区,幼児,外輪先公園,唐原三丁目826-9,33.67667516,130.43635399
九州,福岡県,福岡市,東区,幼児,松崎台公園,松崎四丁目459-71,33.64432631,130.43854019
九州,福岡県,福岡市,東区,幼児,東浜公園,東浜一丁目63-2,33.61601905,130.41448802
九州,福岡県,福岡市,東区,幼児,箱崎中公園,箱崎一丁目2497-5,33.61910005,130.42329377
九州,福岡県,福岡市,東区,幼児,箱崎南公園,箱崎一丁目2681-2，2681-1,33.61678047,130.42460771
九州,福岡県,福岡市,東区,幼児,土井台南公園,青葉七丁目725-150,33.63817878,130.46906389
九州,福岡県,福岡市,東区,幼児,土井台北公園,青葉七丁目912-250,33.6399297,130.46956849
九州,福岡県,福岡市,東区,幼児,大岳公園,大岳三丁目322-63,33.65295029,130.33979894
九州,福岡県,福岡市,東区,幼児,若宮津山公園,若宮二丁目502-2,33.63479193,130.44944885
九州,福岡県,福岡市,東区,緑道,馬出（緑地）,"馬出三丁目265-2,馬出四丁目193-1",33.61399826,130.41478801
九州,福岡県,福岡市,博多区,総合,東平尾公園,東平尾公園一丁目、東平尾公園二丁目,33.58664904,130.4626614
九州,福岡県,福岡市,博多区,地区,山王公園,山王一丁目140、349,33.58260177,130.4322467
九州,福岡県,福岡市,博多区,地区,大井中央公園,"大井一丁目6-15外,大井二丁目1-1外",33.60366012,130.44143896
九州,福岡県,福岡市,博多区,地区,上月隈中央公園,月隈五丁目267-1外,33.56766766,130.46327398
九州,福岡県,福岡市,博多区,近隣,冷泉公園,上川端109,33.59450188,130.40878902
九州,福岡県,福岡市,博多区,近隣,中比恵公園,博多駅東二丁目121,33.58812865,130.42621748
九州,福岡県,福岡市,博多区,近隣,月隈公園,東月隈五丁目168-261,33.57456496,130.46912078
九州,福岡県,福岡市,博多区,近隣,榎田中央公園,大字堅粕23-31外,33.6003169,130.43799146
九州,福岡県,福岡市,博多区,近隣,下月隈公園,月隈三丁目506外,33.57492639,130.46398821
九州,福岡県,福岡市,博多区,近隣,諸岡中央公園,諸岡六丁目619-2外,33.54994751,130.45242139
九州,福岡県,福岡市,博多区,街区,浜口公園,下呉服町403,33.60007594,130.40817311
九州,福岡県,福岡市,博多区,街区,中島公園,中洲中島町21，46,33.59569862,130.40169495
九州,福岡県,福岡市,博多区,街区,清流公園,中洲一丁目95，中洲四丁目80，中洲五丁目43,33.59224934,130.40568335
九州,福岡県,福岡市,博多区,街区,中尾公園,南本町一丁目43,33.54601946,130.45970283
九州,福岡県,福岡市,博多区,街区,那の津公園,神屋町105,33.60010857,130.40339921
九州,福岡県,福岡市,博多区,街区,東光公園,東比恵二丁目123,33.59153714,130.42971133
九州,福岡県,福岡市,博多区,街区,上牟田公園,上牟田一丁目269，上牟田二丁目38,33.58658002,130.43748748
九州,福岡県,福岡市,博多区,街区,池田公園,諸岡四丁目271-2,33.55696127,130.45040361
九州,福岡県,福岡市,博多区,街区,竹丘公園,竹丘町二丁目68，69，70,33.54371685,130.46528434
九州,福岡県,福岡市,博多区,街区,新和公園,新和町二丁目22,33.53682557,130.46296912
九州,福岡県,福岡市,博多区,街区,出来町公園,博多駅前一丁目100,33.59359529,130.41715819
九州,福岡県,福岡市,博多区,街区,吉野公園,堅粕二丁目229,33.59926774,130.42091486
九州,福岡県,福岡市,博多区,街区,住吉公園,住吉四丁目35,33.58404247,130.4161626
九州,福岡県,福岡市,博多区,街区,東住吉公園,博多駅南二丁目133,33.5827353,130.42340261
九州,福岡県,福岡市,博多区,街区,東領公園,博多駅前四丁目557,33.58034986,130.42055311
九州,福岡県,福岡市,博多区,街区,花野公園,博多駅南三丁目96,33.58093297,130.4261037
九州,福岡県,福岡市,博多区,街区,小柳公園,美野島一丁目153,33.58112718,130.41720071
九州,福岡県,福岡市,博多区,街区,音羽公園,博多駅南一丁目1,33.5867512,130.42142379
九州,福岡県,福岡市,博多区,街区,春町公園,春町三丁目53-1,33.54625489,130.46934488
九州,福岡県,福岡市,博多区,街区,比恵公園,比恵町140,33.58676826,130.43028334
九州,福岡県,福岡市,博多区,街区,瑞穂公園,博多駅東三丁目157,33.58571409,130.42641845
九州,福岡県,福岡市,博多区,街区,明治公園,博多駅前三丁目45,33.58859048,130.41748593
九州,福岡県,福岡市,博多区,街区,津屋公園,東比恵三丁目151-1,33.59194375,130.43450379
九州,福岡県,福岡市,博多区,街区,人参公園,博多駅前四丁目117,33.58591991,130.4187969
九州,福岡県,福岡市,博多区,街区,藤田公園,博多駅前二丁目174-2，175-1，175-3，2003-1,33.59096789,130.41445834
九州,福岡県,福岡市,博多区,緑道,美野島公園,美野島三丁目341外,33.57783289,130.42131681
九州,福岡県,福岡市,博多区,緑道,那珂公園,博多駅南六丁目,33.55587698,130.45986237
九州,福岡県,福岡市,博多区,街区,扇町公園,東光寺町二丁目14-1,33.57803871,130.43632183
九州,福岡県,福岡市,博多区,街区,堅粕北公園,堅粕三丁目193,33.59947356,130.42222521
九州,福岡県,福岡市,博多区,街区,大井公園,大井二丁目9-3,33.60314409,130.44475408
九州,福岡県,福岡市,博多区,街区,東月隈東町公園,東月隈五丁目168-259,33.57622152,130.46989994
九州,福岡県,福岡市,博多区,都市緑地,吉塚公園,吉塚本町130-16外,33.60450096,130.42657305
九州,福岡県,福岡市,博多区,都市緑地,立花寺公園,立花寺二丁目775-17外,33.56768726,130.47072934
九州,福岡県,福岡市,博多区,街区,南住吉公園,住吉五丁目847-39,33.58020689,130.41410413
九州,福岡県,福岡市,博多区,街区,下月隈西公園,東月隈一丁目52-104,33.58230158,130.46817342
九州,福岡県,福岡市,博多区,街区,下月隈東公園,東月隈三丁目104-83,33.58071503,130.47348917
九州,福岡県,福岡市,博多区,街区,下月隈中央公園,東月隈二丁目52-419,33.58236584,130.47122872
九州,福岡県,福岡市,博多区,街区,麦野北公園,麦野五丁目2-37,33.55148359,130.46167299
九州,福岡県,福岡市,博多区,街区,東吉塚公園,吉塚六丁目148,33.60799529,130.42781538
九州,福岡県,福岡市,博多区,街区,隅田公園,西月隈五丁目629-1,33.56372404,130.45890265
九州,福岡県,福岡市,博多区,街区,吉塚しょうえん公園,吉塚四丁目379-2,33.6022124,130.4324656
九州,福岡県,福岡市,博多区,街区,板付中央公園,板付三丁目1-17,33.56582034,130.44807108
九州,福岡県,福岡市,博多区,街区,春住公園,博多駅南五丁目42-1,33.57768731,130.42389237
九州,福岡県,福岡市,博多区,街区,下臼井老松公園,大字下臼井43-1の一部,33.59593957,130.45304534
九州,福岡県,福岡市,博多区,街区,東那珂公園,東那珂三丁目162,33.5750569,130.44455867
